input_prompt,response,category,context
How do I stop nervous?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
What should I do when hopeless?,[Response Placeholder],Stress,Body Image Issues
How can I get over angry?,[Response Placeholder],Social Anxiety,Decision-Making
I can't stop feeling upset. What should I do?,[Response Placeholder],Fear,Trouble Concentrating
What can I do when I'm feeling upset?,[Response Placeholder],Self-Esteem,Perfectionism
Why do I feel unloved?,[Response Placeholder],Sadness,Body Image Issues
I can't stop feeling worthless. What should I do?,[Response Placeholder],Grief,Insomnia
Can you help me with overwhelmed?,[Response Placeholder],Sadness,Overthinking
I'm struggling with overwhelmed. Can you help?,[Response Placeholder],Self-Esteem,Social Isolation
Why does guilty feel so overwhelming?,[Response Placeholder],Anxiety,Regret
I can't stop feeling angry. What should I do?,[Response Placeholder],Depression,Perfectionism
What can I do when I'm feeling insecure?,[Response Placeholder],Burnout,Insomnia
How can I get over guilty?,[Response Placeholder],Burnout,Work Stress
How can I cope with stressed?,[Response Placeholder],Depression,Regret
I can't stop feeling guilty. What should I do?,[Response Placeholder],Relationship Issues,Overthinking
What can I do when I'm feeling insecure?,[Response Placeholder],Stress,Body Image Issues
What should I do when lonely?,[Response Placeholder],Self-Esteem,Procrastination
Why do I always feel nervous?,[Response Placeholder],Anxiety,Fear of Rejection
How can I cope with sad?,[Response Placeholder],Panic Attacks,Social Isolation
Can you help me with anxious?,[Response Placeholder],Stress,Insomnia
I'm struggling with upset. Can you help?,[Response Placeholder],Guilt,Fear of Rejection
How can I cope with worthless?,[Response Placeholder],Loneliness,Overthinking
How can I get over stressed?,[Response Placeholder],Social Anxiety,Overthinking
I can't stop feeling sad. What should I do?,[Response Placeholder],Anxiety,Perfectionism
What can I do when worried affects me?,[Response Placeholder],Guilt,Fear of Rejection
How do I stop guilty?,[Response Placeholder],Relationship Issues,Insomnia
Can you help me with anxious?,[Response Placeholder],Burnout,Perfectionism
How can I handle fearful in my life?,[Response Placeholder],Loneliness,Future Uncertainty
Why does guilty feel so overwhelming?,[Response Placeholder],Stress,Self-Worth
What are some ways to manage sad?,[Response Placeholder],Panic Attacks,Procrastination
I'm struggling with stressed. Can you help?,[Response Placeholder],Relationship Issues,Fear of Rejection
I'm struggling with worried. Can you help?,[Response Placeholder],Relationship Issues,Insomnia
How can I get over fearful?,[Response Placeholder],Burnout,Body Image Issues
Why do I feel insecure?,[Response Placeholder],Sleep Problems,Fear of Rejection
What can I do when unloved affects me?,[Response Placeholder],Relationship Issues,Insomnia
How can I handle upset in my life?,[Response Placeholder],Guilt,Fear of Rejection
Why do I feel overwhelmed?,[Response Placeholder],Anger,Body Image Issues
What can I do when guilty affects me?,[Response Placeholder],Relationship Issues,Decision-Making
Can you help me with hopeless?,[Response Placeholder],Self-Esteem,Decision-Making
What can I do when unloved affects me?,[Response Placeholder],Anger,Body Image Issues
What are some ways to manage angry?,[Response Placeholder],Relationship Issues,Work Stress
How do I deal with insecure?,[Response Placeholder],Loneliness,Self-Worth
What are some ways to manage sad?,[Response Placeholder],Anxiety,Future Uncertainty
How can I get over guilty?,[Response Placeholder],Grief,Trouble Concentrating
What should I do when lonely?,[Response Placeholder],Anger,Perfectionism
I can't stop feeling worthless. What should I do?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
Why do I always feel unloved?,[Response Placeholder],Anger,Social Isolation
I'm struggling with nervous. Can you help?,[Response Placeholder],Panic Attacks,Work Stress
I can't stop feeling nervous. What should I do?,[Response Placeholder],Loneliness,Fear of Rejection
How can I cope with worried?,[Response Placeholder],Guilt,Procrastination
How can I get over insecure?,[Response Placeholder],Anger,Overthinking
What should I do when anxious?,[Response Placeholder],Anxiety,Future Uncertainty
Why do I always feel anxious?,[Response Placeholder],Sadness,Work Stress
I'm struggling with hopeless. Can you help?,[Response Placeholder],Stress,Work Stress
Why do I always feel stressed?,[Response Placeholder],Self-Esteem,Work Stress
How do I stop upset?,[Response Placeholder],Fear,Feeling Unsupported
What should I do when overwhelmed?,[Response Placeholder],Anxiety,Emotional Exhaustion
I can't stop feeling guilty. What should I do?,[Response Placeholder],Sleep Problems,Fear of Rejection
What are some ways to manage sad?,[Response Placeholder],Panic Attacks,Decision-Making
Why do I always feel lonely?,[Response Placeholder],Sleep Problems,Insomnia
How can I get over worried?,[Response Placeholder],Self-Esteem,Work Stress
Why does nervous feel so overwhelming?,[Response Placeholder],Stress,Body Image Issues
What can I do when I'm feeling insecure?,[Response Placeholder],Self-Esteem,Perfectionism
What can I do when I'm feeling stressed?,[Response Placeholder],Anxiety,Social Isolation
How do I stop insecure?,[Response Placeholder],Fear,Self-Worth
How can I handle fearful in my life?,[Response Placeholder],Grief,Feeling Unsupported
I can't stop feeling hopeless. What should I do?,[Response Placeholder],Panic Attacks,Future Uncertainty
What can I do when I'm feeling stressed?,[Response Placeholder],Burnout,Overthinking
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Depression,Perfectionism
What should I do when stressed?,[Response Placeholder],Depression,Decision-Making
I can't stop feeling guilty. What should I do?,[Response Placeholder],Panic Attacks,Social Isolation
What can I do when unloved affects me?,[Response Placeholder],Loneliness,Future Uncertainty
Why do I feel guilty?,[Response Placeholder],Anxiety,Decision-Making
Why do I always feel worthless?,[Response Placeholder],Anxiety,Overthinking
How can I handle anxious in my life?,[Response Placeholder],Sadness,Work Stress
How do I stop worthless?,[Response Placeholder],Loneliness,Overthinking
What can I do when I'm feeling lonely?,[Response Placeholder],Sadness,Trouble Concentrating
How do I deal with sad?,[Response Placeholder],Anxiety,Regret
How do I stop angry?,[Response Placeholder],Relationship Issues,Self-Worth
Can you help me with unloved?,[Response Placeholder],Burnout,Feeling Unsupported
How can I cope with nervous?,[Response Placeholder],Anger,Future Uncertainty
What can I do when upset affects me?,[Response Placeholder],Anxiety,Future Uncertainty
I can't stop feeling sad. What should I do?,[Response Placeholder],Social Anxiety,Decision-Making
Why do I always feel fearful?,[Response Placeholder],Sadness,Trouble Concentrating
What can I do when fearful affects me?,[Response Placeholder],Panic Attacks,Social Isolation
I'm struggling with unloved. Can you help?,[Response Placeholder],Relationship Issues,Work Stress
How can I handle upset in my life?,[Response Placeholder],Grief,Regret
How can I get over fearful?,[Response Placeholder],Anger,Body Image Issues
I can't stop feeling overwhelmed. What should I do?,[Response Placeholder],Anger,Emotional Exhaustion
How do I deal with insecure?,[Response Placeholder],Guilt,Self-Worth
Why do I always feel overwhelmed?,[Response Placeholder],Relationship Issues,Procrastination
Why do I feel anxious?,[Response Placeholder],Social Anxiety,Insomnia
What can I do when I'm feeling sad?,[Response Placeholder],Fear,Feeling Unsupported
How can I get over sad?,[Response Placeholder],Self-Esteem,Feeling Unsupported
What are some ways to manage nervous?,[Response Placeholder],Anger,Decision-Making
I'm struggling with overwhelmed. Can you help?,[Response Placeholder],Self-Esteem,Procrastination
Why do I feel anxious?,[Response Placeholder],Grief,Feeling Unsupported
How can I handle sad in my life?,[Response Placeholder],Self-Esteem,Overthinking
What can I do when I'm feeling worthless?,[Response Placeholder],Depression,Decision-Making
What can I do when I'm feeling stressed?,[Response Placeholder],Depression,Trouble Concentrating
How can I get over fearful?,[Response Placeholder],Anxiety,Fear of Rejection
Why do I feel worthless?,[Response Placeholder],Grief,Feeling Unsupported
How do I deal with insecure?,[Response Placeholder],Panic Attacks,Future Uncertainty
I can't stop feeling lonely. What should I do?,[Response Placeholder],Grief,Procrastination
I can't stop feeling insecure. What should I do?,[Response Placeholder],Loneliness,Work Stress
What can I do when I'm feeling nervous?,[Response Placeholder],Anxiety,Social Isolation
What can I do when overwhelmed affects me?,[Response Placeholder],Fear,Overthinking
I can't stop feeling overwhelmed. What should I do?,[Response Placeholder],Sadness,Future Uncertainty
What can I do when hopeless affects me?,[Response Placeholder],Panic Attacks,Decision-Making
What should I do when hopeless?,[Response Placeholder],Loneliness,Insomnia
What should I do when guilty?,[Response Placeholder],Relationship Issues,Work Stress
How can I handle sad in my life?,[Response Placeholder],Self-Esteem,Future Uncertainty
I'm struggling with worried. Can you help?,[Response Placeholder],Depression,Overthinking
Why do I always feel guilty?,[Response Placeholder],Sleep Problems,Future Uncertainty
What should I do when anxious?,[Response Placeholder],Depression,Decision-Making
I can't stop feeling overwhelmed. What should I do?,[Response Placeholder],Sadness,Future Uncertainty
I can't stop feeling overwhelmed. What should I do?,[Response Placeholder],Loneliness,Decision-Making
What can I do when I'm feeling worried?,[Response Placeholder],Anger,Fear of Rejection
What can I do when nervous affects me?,[Response Placeholder],Anxiety,Insomnia
I'm struggling with lonely. Can you help?,[Response Placeholder],Burnout,Perfectionism
How can I handle insecure in my life?,[Response Placeholder],Self-Esteem,Insomnia
Can you help me with worthless?,[Response Placeholder],Social Anxiety,Overthinking
Why does hopeless feel so overwhelming?,[Response Placeholder],Sadness,Procrastination
Why do I always feel upset?,[Response Placeholder],Burnout,Trouble Concentrating
I'm struggling with worried. Can you help?,[Response Placeholder],Guilt,Self-Worth
Why does lonely feel so overwhelming?,[Response Placeholder],Anger,Trouble Concentrating
What can I do when I'm feeling insecure?,[Response Placeholder],Anger,Procrastination
Why do I always feel lonely?,[Response Placeholder],Social Anxiety,Body Image Issues
How do I deal with stressed?,[Response Placeholder],Loneliness,Insomnia
What can I do when I'm feeling upset?,[Response Placeholder],Anxiety,Decision-Making
How do I deal with nervous?,[Response Placeholder],Sleep Problems,Trouble Concentrating
What are some ways to manage sad?,[Response Placeholder],Sadness,Decision-Making
I can't stop feeling lonely. What should I do?,[Response Placeholder],Fear,Social Isolation
Why does fearful feel so overwhelming?,[Response Placeholder],Loneliness,Work Stress
Why do I feel upset?,[Response Placeholder],Self-Esteem,Body Image Issues
I can't stop feeling guilty. What should I do?,[Response Placeholder],Depression,Trouble Concentrating
How can I get over overwhelmed?,[Response Placeholder],Loneliness,Procrastination
Can you help me with unloved?,[Response Placeholder],Anxiety,Work Stress
Why do I feel nervous?,[Response Placeholder],Fear,Perfectionism
Why do I always feel guilty?,[Response Placeholder],Fear,Overthinking
I'm struggling with overwhelmed. Can you help?,[Response Placeholder],Anger,Emotional Exhaustion
Why do I feel overwhelmed?,[Response Placeholder],Relationship Issues,Future Uncertainty
How can I cope with worthless?,[Response Placeholder],Anger,Trouble Concentrating
What should I do when overwhelmed?,[Response Placeholder],Social Anxiety,Overthinking
How do I deal with hopeless?,[Response Placeholder],Panic Attacks,Feeling Unsupported
What should I do when overwhelmed?,[Response Placeholder],Depression,Perfectionism
How can I get over anxious?,[Response Placeholder],Sadness,Overthinking
Why do I feel overwhelmed?,[Response Placeholder],Stress,Overthinking
Why do I feel angry?,[Response Placeholder],Grief,Fear of Rejection
I can't stop feeling guilty. What should I do?,[Response Placeholder],Sadness,Self-Worth
Why do I feel guilty?,[Response Placeholder],Depression,Trouble Concentrating
Why do I feel hopeless?,[Response Placeholder],Stress,Regret
How can I cope with anxious?,[Response Placeholder],Stress,Trouble Concentrating
How do I deal with hopeless?,[Response Placeholder],Sadness,Work Stress
How do I deal with worried?,[Response Placeholder],Burnout,Decision-Making
How do I stop nervous?,[Response Placeholder],Panic Attacks,Work Stress
Why do I feel upset?,[Response Placeholder],Stress,Decision-Making
How do I deal with hopeless?,[Response Placeholder],Depression,Self-Worth
I'm struggling with anxious. Can you help?,[Response Placeholder],Self-Esteem,Procrastination
Why do I always feel nervous?,[Response Placeholder],Fear,Self-Worth
Why do I always feel guilty?,[Response Placeholder],Self-Esteem,Self-Worth
How can I cope with guilty?,[Response Placeholder],Loneliness,Emotional Exhaustion
I can't stop feeling hopeless. What should I do?,[Response Placeholder],Sleep Problems,Perfectionism
What should I do when guilty?,[Response Placeholder],Sleep Problems,Social Isolation
How can I cope with worried?,[Response Placeholder],Grief,Procrastination
What should I do when angry?,[Response Placeholder],Grief,Social Isolation
How can I get over lonely?,[Response Placeholder],Grief,Insomnia
I can't stop feeling lonely. What should I do?,[Response Placeholder],Panic Attacks,Perfectionism
How can I cope with unloved?,[Response Placeholder],Relationship Issues,Feeling Unsupported
Why do I feel insecure?,[Response Placeholder],Sadness,Overthinking
What can I do when I'm feeling sad?,[Response Placeholder],Stress,Procrastination
What can I do when insecure affects me?,[Response Placeholder],Anxiety,Future Uncertainty
What can I do when I'm feeling unloved?,[Response Placeholder],Loneliness,Body Image Issues
What should I do when insecure?,[Response Placeholder],Loneliness,Insomnia
I can't stop feeling worried. What should I do?,[Response Placeholder],Sadness,Overthinking
What can I do when hopeless affects me?,[Response Placeholder],Sadness,Trouble Concentrating
Can you help me with angry?,[Response Placeholder],Loneliness,Social Isolation
What should I do when angry?,[Response Placeholder],Grief,Future Uncertainty
Why does hopeless feel so overwhelming?,[Response Placeholder],Sadness,Work Stress
How do I stop unloved?,[Response Placeholder],Depression,Feeling Unsupported
What are some ways to manage guilty?,[Response Placeholder],Sadness,Insomnia
Why do I feel stressed?,[Response Placeholder],Panic Attacks,Body Image Issues
What should I do when unloved?,[Response Placeholder],Anxiety,Procrastination
How can I get over insecure?,[Response Placeholder],Anger,Trouble Concentrating
What should I do when nervous?,[Response Placeholder],Loneliness,Feeling Unsupported
Can you help me with worthless?,[Response Placeholder],Burnout,Body Image Issues
Why does anxious feel so overwhelming?,[Response Placeholder],Stress,Trouble Concentrating
How can I handle overwhelmed in my life?,[Response Placeholder],Stress,Overthinking
I can't stop feeling upset. What should I do?,[Response Placeholder],Depression,Social Isolation
How can I get over hopeless?,[Response Placeholder],Loneliness,Regret
What can I do when I'm feeling angry?,[Response Placeholder],Relationship Issues,Decision-Making
Why do I feel unloved?,[Response Placeholder],Sadness,Social Isolation
Why do I always feel nervous?,[Response Placeholder],Fear,Social Isolation
How do I stop stressed?,[Response Placeholder],Relationship Issues,Future Uncertainty
What should I do when stressed?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
How can I cope with angry?,[Response Placeholder],Anger,Decision-Making
I can't stop feeling lonely. What should I do?,[Response Placeholder],Stress,Fear of Rejection
What can I do when worried affects me?,[Response Placeholder],Anger,Procrastination
What are some ways to manage stressed?,[Response Placeholder],Depression,Regret
What are some ways to manage unloved?,[Response Placeholder],Relationship Issues,Future Uncertainty
What can I do when stressed affects me?,[Response Placeholder],Social Anxiety,Trouble Concentrating
What should I do when overwhelmed?,[Response Placeholder],Sadness,Body Image Issues
What can I do when I'm feeling nervous?,[Response Placeholder],Burnout,Self-Worth
How can I get over sad?,[Response Placeholder],Grief,Perfectionism
How can I cope with anxious?,[Response Placeholder],Grief,Future Uncertainty
How can I get over overwhelmed?,[Response Placeholder],Social Anxiety,Regret
Why does insecure feel so overwhelming?,[Response Placeholder],Panic Attacks,Decision-Making
Why do I always feel overwhelmed?,[Response Placeholder],Social Anxiety,Overthinking
I can't stop feeling worried. What should I do?,[Response Placeholder],Depression,Decision-Making
Why do I always feel nervous?,[Response Placeholder],Grief,Trouble Concentrating
How can I cope with sad?,[Response Placeholder],Stress,Self-Worth
What can I do when I'm feeling hopeless?,[Response Placeholder],Grief,Work Stress
Why do I feel worthless?,[Response Placeholder],Relationship Issues,Social Isolation
How do I deal with sad?,[Response Placeholder],Guilt,Feeling Unsupported
I'm struggling with guilty. Can you help?,[Response Placeholder],Panic Attacks,Overthinking
Why does worried feel so overwhelming?,[Response Placeholder],Relationship Issues,Regret
What can I do when I'm feeling lonely?,[Response Placeholder],Guilt,Self-Worth
What can I do when lonely affects me?,[Response Placeholder],Fear,Self-Worth
How do I deal with overwhelmed?,[Response Placeholder],Relationship Issues,Insomnia
Why do I always feel stressed?,[Response Placeholder],Anger,Insomnia
What can I do when stressed affects me?,[Response Placeholder],Depression,Insomnia
Why do I feel insecure?,[Response Placeholder],Stress,Overthinking
Why does hopeless feel so overwhelming?,[Response Placeholder],Sadness,Regret
What can I do when I'm feeling worthless?,[Response Placeholder],Guilt,Body Image Issues
How can I cope with guilty?,[Response Placeholder],Burnout,Trouble Concentrating
What should I do when worried?,[Response Placeholder],Relationship Issues,Self-Worth
Can you help me with guilty?,[Response Placeholder],Grief,Feeling Unsupported
Why does nervous feel so overwhelming?,[Response Placeholder],Stress,Overthinking
I can't stop feeling fearful. What should I do?,[Response Placeholder],Panic Attacks,Work Stress
What are some ways to manage unloved?,[Response Placeholder],Panic Attacks,Body Image Issues
I can't stop feeling anxious. What should I do?,[Response Placeholder],Burnout,Emotional Exhaustion
How do I deal with lonely?,[Response Placeholder],Sadness,Social Isolation
What are some ways to manage insecure?,[Response Placeholder],Guilt,Decision-Making
What should I do when stressed?,[Response Placeholder],Fear,Trouble Concentrating
How can I cope with sad?,[Response Placeholder],Burnout,Work Stress
What can I do when I'm feeling worthless?,[Response Placeholder],Social Anxiety,Future Uncertainty
How can I cope with fearful?,[Response Placeholder],Relationship Issues,Trouble Concentrating
Can you help me with lonely?,[Response Placeholder],Sleep Problems,Trouble Concentrating
What can I do when unloved affects me?,[Response Placeholder],Anxiety,Perfectionism
How can I get over worthless?,[Response Placeholder],Stress,Trouble Concentrating
How do I stop sad?,[Response Placeholder],Depression,Fear of Rejection
How can I handle worthless in my life?,[Response Placeholder],Depression,Emotional Exhaustion
Why do I always feel worried?,[Response Placeholder],Anxiety,Work Stress
Why do I always feel upset?,[Response Placeholder],Guilt,Insomnia
I can't stop feeling worried. What should I do?,[Response Placeholder],Guilt,Regret
How do I stop fearful?,[Response Placeholder],Self-Esteem,Trouble Concentrating
How can I handle fearful in my life?,[Response Placeholder],Guilt,Body Image Issues
How do I deal with sad?,[Response Placeholder],Anxiety,Overthinking
What can I do when I'm feeling sad?,[Response Placeholder],Sadness,Perfectionism
What should I do when hopeless?,[Response Placeholder],Sadness,Social Isolation
How can I handle lonely in my life?,[Response Placeholder],Stress,Trouble Concentrating
What should I do when stressed?,[Response Placeholder],Grief,Overthinking
Why do I feel angry?,[Response Placeholder],Sleep Problems,Trouble Concentrating
Can you help me with unloved?,[Response Placeholder],Sadness,Fear of Rejection
How do I deal with unloved?,[Response Placeholder],Stress,Work Stress
How can I get over nervous?,[Response Placeholder],Grief,Feeling Unsupported
What should I do when worthless?,[Response Placeholder],Sadness,Insomnia
Why does worried feel so overwhelming?,[Response Placeholder],Burnout,Future Uncertainty
Can you help me with hopeless?,[Response Placeholder],Burnout,Decision-Making
Can you help me with hopeless?,[Response Placeholder],Relationship Issues,Self-Worth
What are some ways to manage worried?,[Response Placeholder],Stress,Insomnia
What can I do when I'm feeling upset?,[Response Placeholder],Sadness,Fear of Rejection
Why do I always feel stressed?,[Response Placeholder],Fear,Insomnia
What are some ways to manage fearful?,[Response Placeholder],Sleep Problems,Work Stress
What should I do when upset?,[Response Placeholder],Burnout,Insomnia
What are some ways to manage guilty?,[Response Placeholder],Burnout,Regret
How can I cope with insecure?,[Response Placeholder],Sleep Problems,Work Stress
How do I deal with nervous?,[Response Placeholder],Sadness,Trouble Concentrating
What can I do when lonely affects me?,[Response Placeholder],Stress,Procrastination
How do I deal with nervous?,[Response Placeholder],Panic Attacks,Overthinking
Why do I feel worried?,[Response Placeholder],Fear,Self-Worth
