input_prompt,response,category,context
I'm feeling really lonely lately.,Job insecurity is stressful. Try discussing your concerns with your employer or exploring other opportunities.,Sleep Problems,Work Pressure
I feel so anxious about my future.,Lack of sleep can impact your mental health. Consider developing a bedtime routine and avoiding screens before bed.,Friendship Issues,Low Confidence
My partner and I are constantly arguing.,"Feeling inadequate is tough, but remember that you're doing your best. Try to focus on your strengths and progress.",Sleep Problems,Future Uncertainty
I'm feeling really lonely lately.,It can be tough when you feel unsupported. Consider talking to your friends about how you're feeling.,Loneliness,Insomnia
I'm finding it hard to motivate myself to do anything.,It can be tough when you feel unsupported. Consider talking to your friends about how you're feeling.,Friendship Issues,Future Uncertainty
I'm afraid I'm going to lose my job.,Lack of sleep can impact your mental health. Consider developing a bedtime routine and avoiding screens before bed.,Loneliness,Frequent Arguments
I can't stop thinking about the mistakes I've made.,"Lack of motivation can be a sign of burnout. Try setting small, achievable goals and give yourself breaks.",Sleep Problems,Low Confidence
I'm finding it hard to motivate myself to do anything.,"Everyone makes mistakes, but it's important to learn from them and move forward. Be kind to yourself.",Guilt,Work Pressure
I don't know how to deal with my stress at work.,Job insecurity is stressful. Try discussing your concerns with your employer or exploring other opportunities.,Sleep Problems,Low Motivation
I feel so anxious about my future.,"Lack of motivation can be a sign of burnout. Try setting small, achievable goals and give yourself breaks.",Friendship Issues,Job Insecurity
I feel like my friends don't really care about me.,Communication is key in relationships. Try to have a calm discussion and listen to each other's needs.,Relationship Issues,Low Motivation
I feel like I'm not good enough.,Communication is key in relationships. Try to have a calm discussion and listen to each other's needs.,Guilt,Insomnia
I haven't been sleeping well for weeks.,Work stress can be overwhelming. It's important to take breaks and try mindfulness exercises.,Self-Esteem Issues,Job Insecurity
I'm feeling really lonely lately.,"It's normal to feel anxious, but try to focus on the things you can control. Taking small steps can help.",Self-Esteem Issues,Insomnia
I haven't been sleeping well for weeks.,It can be tough when you feel unsupported. Consider talking to your friends about how you're feeling.,Guilt,Work Pressure
My partner and I are constantly arguing.,"Feeling inadequate is tough, but remember that you're doing your best. Try to focus on your strengths and progress.",Loneliness,Future Uncertainty
I'm feeling really lonely lately.,"It's normal to feel anxious, but try to focus on the things you can control. Taking small steps can help.",Job Crisis,Low Motivation
I'm afraid I'm going to lose my job.,Job insecurity is stressful. Try discussing your concerns with your employer or exploring other opportunities.,Anxiety,Regret
I'm afraid I'm going to lose my job.,"Everyone makes mistakes, but it's important to learn from them and move forward. Be kind to yourself.",Anxiety,Social Isolation
I feel like I'm not good enough.,Lack of sleep can impact your mental health. Consider developing a bedtime routine and avoiding screens before bed.,Guilt,Feeling Unsupported
I'm finding it hard to motivate myself to do anything.,"Everyone makes mistakes, but it's important to learn from them and move forward. Be kind to yourself.",Stress,Social Isolation
I'm finding it hard to motivate myself to do anything.,It can be tough when you feel unsupported. Consider talking to your friends about how you're feeling.,Job Crisis,Feeling Unsupported
I'm afraid I'm going to lose my job.,Job insecurity is stressful. Try discussing your concerns with your employer or exploring other opportunities.,Stress,Low Motivation
I haven't been sleeping well for weeks.,"Lack of motivation can be a sign of burnout. Try setting small, achievable goals and give yourself breaks.",Self-Esteem Issues,Job Insecurity
I can't stop thinking about the mistakes I've made.,Lack of sleep can impact your mental health. Consider developing a bedtime routine and avoiding screens before bed.,Burnout,Frequent Arguments
I feel like my friends don't really care about me.,"It's normal to feel anxious, but try to focus on the things you can control. Taking small steps can help.",Sleep Problems,Frequent Arguments
I feel like my friends don't really care about me.,Communication is key in relationships. Try to have a calm discussion and listen to each other's needs.,Guilt,Insomnia
I feel like my friends don't really care about me.,Work stress can be overwhelming. It's important to take breaks and try mindfulness exercises.,Sleep Problems,Insomnia
I can't stop thinking about the mistakes I've made.,"It's normal to feel anxious, but try to focus on the things you can control. Taking small steps can help.",Guilt,Regret
I feel so anxious about my future.,"Feeling inadequate is tough, but remember that you're doing your best. Try to focus on your strengths and progress.",Anxiety,Regret
I don't know how to deal with my stress at work.,Lack of sleep can impact your mental health. Consider developing a bedtime routine and avoiding screens before bed.,Loneliness,Feeling Unsupported
I feel like my friends don't really care about me.,Work stress can be overwhelming. It's important to take breaks and try mindfulness exercises.,Stress,Future Uncertainty
I can't stop thinking about the mistakes I've made.,"Everyone makes mistakes, but it's important to learn from them and move forward. Be kind to yourself.",Loneliness,Feeling Unsupported
I'm finding it hard to motivate myself to do anything.,Work stress can be overwhelming. It's important to take breaks and try mindfulness exercises.,Anxiety,Work Pressure
I'm afraid I'm going to lose my job.,Loneliness is hard. Reaching out to friends or joining a group can help you feel more connected.,Stress,Insomnia
I haven't been sleeping well for weeks.,Communication is key in relationships. Try to have a calm discussion and listen to each other's needs.,Friendship Issues,Low Confidence
I feel like I'm not good enough.,Job insecurity is stressful. Try discussing your concerns with your employer or exploring other opportunities.,Relationship Issues,Job Insecurity
I'm finding it hard to motivate myself to do anything.,"Lack of motivation can be a sign of burnout. Try setting small, achievable goals and give yourself breaks.",Burnout,Low Motivation
